level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
4,M00733,Pulley HTD-5M 16mm 20 teeth,2.00,M00270,FAB - Miscellaneous Components Bag,False
4,M00745,Rubber Bump M8x68,6.00,M00270,FAB - Miscellaneous Components Bag,False
4,M00354,CNC Pro/Fab - Steel Parts - Nut Offset,2.00,M00270,FAB - Miscellaneous Components Bag,False
4,M00827,Steel cable tray cantilever arm,2.00,M00270,FAB - Miscellaneous Components Bag,False
4,M00967,CNC Fab - Mounting gauge Plywood (Rails),1.00,M00270,FAB - Miscellaneous Components Bag,False
4,M01683,FAB - Acrylic Mounting Gauge (Limits & coupler),1.00,M00270,FAB - Miscellaneous Components Bag,True
5,M00716,"PMMA Sheet 3mm 600x400mm, Light Blue",0.02,M01683,FAB - Acrylic Mounting Gauge (Limits & coupler),False
4,M01684,FAB- Pinion v2 - Ball Bearing 6801-ZZ - 12x21x5mm,2.00,M00270,FAB - Miscellaneous Components Bag,False
1,M00286,FAB - C - Steel Parts Box 1/2,1.00,M01424,Fab,True
2,M00283,CNC Fab - Steel Parts - R&P drive plate,2.00,M00286,FAB - C - Steel Parts Box 1/2,False
2,M00284,CNC Fab - Steel Parts - Y gantry,2.00,M00286,FAB - C - Steel Parts Box 1/2,False
2,M00282,CNC Fab - Steel Parts - Limit sensor support plate,4.00,M00286,FAB - C - Steel Parts Box 1/2,False
1,M00287,FAB - D - Steel Parts Box 2/2,1.00,M01424,Fab,True
2,M00281,CNC Fab - Steel Parts - Gusset plate,12.00,M00287,FAB - D - Steel Parts Box 2/2,False
2,M00359,CNC Pro/Fab - Steel Parts - Z-axis Top Motor Plate,1.00,M00287,FAB - D - Steel Parts Box 2/2,False
2,M00358,CNC Pro/Fab - Steel Parts - Z-Axis Bottom Bearing Plate,1.00,M00287,FAB - D - Steel Parts Box 2/2,False
2,M00360,CNC Pro/Fab - Steel Parts - X Nut,1.00,M00287,FAB - D - Steel Parts Box 2/2,False
2,M00361,CNC Pro/Fab - Steel Parts - Z Plate,1.00,M00287,FAB - D - Steel Parts Box 2/2,False
2,M00285,CNC Fab - Steel Parts - Y gantry back plate,1.00,M00287,FAB - D - Steel Parts Box 2/2,False
1,M00288,FAB - E - Structure Box 1/3,1.00,M01424,Fab,True
2,M00055,Alu Profile V-3030 (240mm) [1x M6 thread on BOTH sides],2.00,M00288,FAB - E - Structure Box 1/3,False
2,M00081,Ballscrew SFU1605 250mm & Nut,1.00,M00288,FAB - E - Structure Box 1/3,False
2,M00624,Linear Rail HGR20 (200mm),2.00,M00288,FAB - E - Structure Box 1/3,False
2,M00059,Alu profile I-6030 (1410mm),9.00,M00288,FAB - E - Structure Box 1/3,False
1,M00289,FAB - F - Structure Box 2/3,1.00,M01424,Fab,True
2,M00060,Alu profile I-6060 (1410mm),6.00,M00289,FAB - F - Structure Box 2/3,False
2,M00930,Alu Profile I-6030 (600mm) [2x M6 threads on BOTH sides],6.00,M00289,FAB - F - Structure Box 2/3,False
2,M00956,Cable Trunking D31mm L500mm,3.00,M00289,FAB - F - Structure Box 2/3,False
1,M00290,FAB - G - Structure Box 3/3,1.00,M01424,Fab,True
2,M00058,Alu profile I-30120 (1530mm) [4x M6 threads on ONE side],4.00,M00290,FAB - G - Structure Box 3/3,False
2,M00061,Alu profile I-6060 (1530mm) [4x M6 threads on BOTH sides],2.00,M00290,FAB - G - Structure Box 3/3,False
2,M00391,Cable chain TEZ25.50K 1200mm,1.00,M00290,FAB - G - Structure Box 3/3,False
2,M00392,Cable chain TEZ25.50K 1800mm,1.00,M00290,FAB - G - Structure Box 3/3,False
2,M00826,FAB - Steel cable tray 3000mm (2x1500mm),1.00,M00290,FAB - G - Structure Box 3/3,False
2,M00278,CNC Fab - Steel Parts - Cable chain holder,4.00,M00290,FAB - G - Structure Box 3/3,False
2,M00080,Ballscrew SFS1620 1500mm & nut,1.00,M00290,FAB - G - Structure Box 3/3,False
2,M00103,"FAB - Brush FBL0706 30mm, 1500mm length",4.00,M00290,FAB - G - Structure Box 3/3,True
3,M00948,Brush FBL0706 30mm (m),6.00,M00103,"FAB - Brush FBL0706 30mm, 1500mm length",False
1,M00946,FAB - H - Linear rail HGR20 1500mm Box,1.00,M01424,Fab,True
2,M00626,Linear rail HGR20 (1500mm) - Docking,6.00,M00946,FAB - H - Linear rail HGR20 1500mm Box,False
1,M00945,FAB - I - Straight Rack M2 Box,1.00,M01424,Fab,True
2,M00831,Straight Rack M2 DIN5 1005.31mm,6.00,M00945,FAB - I - Straight Rack M2 Box,False
2,M00832,Straight rack gauge M2 Q6 500mm,1.00,M00945,FAB - I - Straight Rack M2 Box,False
